committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,12G,80031144130,,,,,,,,"RUBIN, ARTHUR",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REF TO INDIVIDUAL,,,1980-10-10 00:00:00,20.00,,,,,,,,,,,,,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241592,PASADINA,91106,REFUNDS,CONTRIBUTION REF TO INDIVIDUAL,1980,SB,3062020110011566883,http://docquery.fec.gov/cgi-bin/fecimg/?80031144130,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,12G,80031144130,,,,,,,,"ANTMAN, LESTER",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REF TO INDIVIDUAL,,,1980-10-09 00:00:00,20.00,,,,,,,,,,,,,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241592,ANAHEIM,92806,REFUNDS,CONTRIBUTION REF TO INDIVIDUAL,1980,SB,3062020110011638723,http://docquery.fec.gov/cgi-bin/fecimg/?80031144130,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,12G,80031144128,,,,,,,,"LP OF MICHIGAN,",MI,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-10-07 00:00:00,22.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241592,BUKLEY,48072,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011584161,http://docquery.fec.gov/cgi-bin/fecimg/?80031144128,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,30G,80031755455,,,,,,C00099499,C00099499,"STATE EXEC CMTE, LIBERTARIAN PARTY OF OK",OK,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION MADE TO NON-AFFILIATED,,,1980-10-16 00:00:00,83.00,H,HOUSE,05,H8OK05034,"ROBINSON, DENNIS FRANK",DENNIS FRANK,ROBINSON,,,,OK,OKLAHOMA,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241901,OKLAHOMA CITY,73129,CONTRIBUTIONS,CONTRIBUTION MADE TO NON-AFFILIATED,1980,SB,3062020110011463608,http://docquery.fec.gov/cgi-bin/fecimg/?80031755455,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,12G,80031144128,,,,,,,,"LP OF IOWA,",IA,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-10-01 00:00:00,100.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241592,AMES,50010,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011547018,http://docquery.fec.gov/cgi-bin/fecimg/?80031144128,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,12G,80031144129,,,,,,,,"FREE LIBERTARIAN PAR, -TY OF NEW Y",NY,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-10-07 00:00:00,110.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241592,SCHENECTADY,12309,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011566913,http://docquery.fec.gov/cgi-bin/fecimg/?80031144129,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M10,80031142479,,,,,,C00124149,C00124149,PENNSYLVANIA LIBERTARIAN CAMPAIGN COMMITTEE (WALTER FOR SENATE),PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION MADE TO NON-AFFILIATED,,,1980-09-02 00:00:00,150.00,S,SENATE,00,S0PA00244,"WALTER, DAVID K",DAVID K,WALTER,,,,PA,PENNSYLVANIA,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241725,SWARTHMORE,19081,CONTRIBUTIONS,CONTRIBUTION MADE TO NON-AFFILIATED,1980,SB,3062020110011409665,http://docquery.fec.gov/cgi-bin/fecimg/?80031142479,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M10,80031142456,,,,,,C00124149,C00124149,PENNSYLVANIA LIBERTARIAN CAMPAIGN COMMITTEE (WALTER FOR SENATE),PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION MADE TO NON-AFFILIATED,,,1980-09-02 00:00:00,150.00,S,SENATE,00,S0PA00244,"WALTER, DAVID K",DAVID K,WALTER,,,,PA,PENNSYLVANIA,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241725,SWARTHMORE,19081,CONTRIBUTIONS,CONTRIBUTION MADE TO NON-AFFILIATED,1980,SB,3062020110011483198,http://docquery.fec.gov/cgi-bin/fecimg/?80031142456,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,12G,80031144128,,,,,,,,"LP OF DELAWARE,",DE,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-10-06 00:00:00,150.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241592,WILMINGTON,19801,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011638577,http://docquery.fec.gov/cgi-bin/fecimg/?80031144128,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,12G,80031144130,,,,,,,,"KLAUSNER, MANUEL",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REF TO INDIVIDUAL,,,1980-10-10 00:00:00,150.00,,,,,,,,,,,,,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241592,LOS ANGELES,90071,REFUNDS,CONTRIBUTION REF TO INDIVIDUAL,1980,SB,3062020110011647241,http://docquery.fec.gov/cgi-bin/fecimg/?80031144130,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M10,80031142479,,,,,,,,"STUDENT FOR LIB SOC ,",CA,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-09-30 00:00:00,160.00,,,,,,,,,,,,,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241725,SAN FRANCISCO,94111,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011409662,http://docquery.fec.gov/cgi-bin/fecimg/?80031142479,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M8,80031131316,,,,,,,,"LIBERTARIAN PARTY OF, - WISCONSIN",WI,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-07-10 00:00:00,160.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241813,MADISON,53703,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011469022,http://docquery.fec.gov/cgi-bin/fecimg/?80031131316,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M9,80031140159,,,,,,C00042275,C00042275,LIBERTARIAN NATIONAL COMMITTEE,DC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION MADE TO NON-AFFILIATED,,,1980-08-08 00:00:00,163.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241814,WASHINGTON,20007,CONTRIBUTIONS,CONTRIBUTION MADE TO NON-AFFILIATED,1980,SB,3062020110011585595,http://docquery.fec.gov/cgi-bin/fecimg/?80031140159,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M5,80031085223,,,,,,,,"LIBERTARIAN PARTY OF, - CA REGION",CA,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-04-04 00:00:00,185.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241720,FOUNTAIN VALLEY,92708,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011573866,http://docquery.fec.gov/cgi-bin/fecimg/?80031085223,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M4,80031081021,,,,,,,,"HENDERSON, G B MR",NV,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REF TO INDIVIDUAL,,,1980-03-05 00:00:00,190.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241719,LAS VEGAS,89119,REFUNDS,CONTRIBUTION REF TO INDIVIDUAL,1980,SB,3062020110011535101,http://docquery.fec.gov/cgi-bin/fecimg/?80031081021,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,30G,80031755455,,,,,,,,"LP OF WISCONSIN,",WI,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-10-29 00:00:00,200.00,,,,,,,,,,,,,G,GENERAL,GENERAL,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241901,MADISON,00000,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011435388,http://docquery.fec.gov/cgi-bin/fecimg/?80031755455,,,,,,,
C00108258,ED CLARK FOR PRESIDENT COMMITTEE,1980,M3,80031065474,,,,,,,,"LIBERTARIAN PARTY OF, - MAINE",ME,,,24U,CONTRIBUTION MADE TO UNREGISTERED,CONTRIBUTION MADE TO UNREGISTERED,,,1980-02-01 00:00:00,200.00,,,,,,,,,,,,,P,PRIMARY,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 18:56:10.3384,,,,,,,,,,,,,,,,P,"",P,F3P,3032920021022241718,PORTLAND,00000,OTHER,CONTRIBUTION MADE TO UNREGISTERED,1980,SB,3062020110011453264,http://docquery.fec.gov/cgi-bin/fecimg/?80031065474,,,,,,,
