committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00495622,GARY JOHNSON 2012 INC,2012,YE,15970262637,23,SB23.46638,992730,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,BANK SERVICE CHARGE,,,2012-12-12 00:00:00,10.34,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255286,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4020920151238295229,http://docquery.fec.gov/cgi-bin/fecimg/?15970262637,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2012,M6,15950602699,23,SB23.18425,992719,ORG,ORGANIZATION,,,ZIONS BANK,UT,,,,,BANK SERVICE CHARGE,,,2012-05-21 00:00:00,15.69,P,PRESIDENT,00,P20002671,"JOHNSON, GARY EARL",GARY EARL,JOHNSON,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255279,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4020920151238295082,http://docquery.fec.gov/cgi-bin/fecimg/?15950602699,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2012,M2,15970262096,23,SB23.12698,992713,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,BANK SERVICE CHARGE,,,2012-01-23 00:00:00,15.85,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255275,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4020920151238294993,http://docquery.fec.gov/cgi-bin/fecimg/?15970262096,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2012,M3,15950602592,23,SB23.13896,992714,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,BANK CHARGES,,,2012-02-21 00:00:00,15.85,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255276,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4020920151238295011,http://docquery.fec.gov/cgi-bin/fecimg/?15950602592,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2012,M5,15970262263,23,SB23.46993,992717,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,BANK CHARGE - GENERAL,,,2012-04-23 00:00:00,15.85,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255278,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4020920151238295053,http://docquery.fec.gov/cgi-bin/fecimg/?15970262263,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2012,M4,15970262182,23,SB23.46983,992716,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,BANK CHARGE - GENERAL ACCT,,,2012-03-21 00:00:00,15.90,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255277,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4020920151238295030,http://docquery.fec.gov/cgi-bin/fecimg/?15970262182,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2011,YE,15950602511,23,SB23.9562,992712,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,EFT BANK CHARGES,,,2011-11-21 00:00:00,15.97,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255274,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4021020151238471235,http://docquery.fec.gov/cgi-bin/fecimg/?15950602511,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2011,YE,15950602512,23,SB23.9563,992712,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,EFT BANK CHARGES,,,2011-12-21 00:00:00,15.99,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255274,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4021020151238471238,http://docquery.fec.gov/cgi-bin/fecimg/?15950602512,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2012,30G,15950603368,23,SB23.46395,992728,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,BANK CHARGES,,,2012-10-22 00:00:00,16.48,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255285,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4020920151238295213,http://docquery.fec.gov/cgi-bin/fecimg/?15950603368,Operating Expenditures,,,,,,
C00495622,GARY JOHNSON 2012 INC,2011,YE,15950602510,23,SB23.9561,992712,ORG,ORGANIZATION,C00495622,,ZIONS BANK,UT,GARY JOHNSON 2012 INC,,,,EFT BANK CHARGES,,,2011-10-21 00:00:00,16.62,P,PRESIDENT,00,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 20:05:01.794431,,,,0.00,,,,101,,,,,,,,P,"",P,F3P,4020920151238255274,"SALT LAKE CITY,",84111,OTHER,,2012,SB,4021020151238471232,http://docquery.fec.gov/cgi-bin/fecimg/?15950602510,Operating Expenditures,,,,,,
